Student Class Selection Export
================================
Year: Freshman
Major: 22

Selected Courses:
- ACC 201: Financial Accounting (Freshman, 3 credits)
- ACC 202: Managerial Accounting (Sophomore, 3 credits)
- ACC 310: Intermediate Accounting I (Junior, 3 credits)
- ACC 311: Intermediate Accounting II (Senior, 4 credits)
- ACC 420: Auditing (Senior, 4 credits)
- AVI 101: Introduction to Aviation (Freshman, 3 credits)
- AVI 120: Private Pilot Ground School (Sophomore, 3 credits)
- AVI 230: Instrument Flight Theory (Junior, 3 credits)
- AVI 310: Aviation Safety (Senior, 4 credits)
- AVI 360: Air Traffic Systems (Senior, 4 credits)
- BIO 110: Principles of Biology I (Freshman, 3 credits)
- BIO 111: Principles of Biology II (Sophomore, 3 credits)
- BIO 220: Genetics (Junior, 3 credits)
- BIO 330: Microbiology (Senior, 4 credits)
- BIO 410: Ecology (Senior, 4 credits)
- BUS 101: Introduction to Business (Freshman, 3 credits)
- ACC 201: Financial Accounting (Sophomore, 3 credits)
- ECO 201: Microeconomics (Junior, 3 credits)
- MKT 301: Principles of Marketing (Senior, 4 credits)
- FIN 320: Corporate Finance (Senior, 4 credits)
- COM 101: Public Speaking (Freshman, 3 credits)
- COM 210: Interpersonal Communication (Sophomore, 3 credits)
- COM 230: Mass Media and Society (Junior, 3 credits)
- COM 320: Organizational Communication (Senior, 4 credits)
- COM 350: Digital Media Production (Senior, 4 credits)
- CS 110: Introduction to Programming (Freshman, 3 credits)
- CS 220: Data Structures (Sophomore, 3 credits)
- CS 230: Computer Organization (Junior, 3 credits)
- CS 310: Algorithms (Senior, 4 credits)
- CS 340: Database Systems (Senior, 4 credits)
- CRJ 101: Introduction to Criminal Justice (Freshman, 3 credits)
- CRJ 210: Criminology (Sophomore, 3 credits)
- CRJ 230: Policing in America (Junior, 3 credits)
- CRJ 320: Corrections (Senior, 4 credits)
- CRJ 410: Criminal Law (Senior, 4 credits)
- CYB 210: Introduction to Cybersecurity (Freshman, 3 credits)
- CYB 220: Network Security (Sophomore, 3 credits)
- CYB 310: Ethical Hacking (Junior, 3 credits)
- CYB 320: Digital Forensics (Senior, 4 credits)
- CYB 410: Security Operations (Senior, 4 credits)
- ECO 201: Microeconomics (Freshman, 3 credits)
- ECO 202: Macroeconomics (Sophomore, 3 credits)
- ECO 310: Intermediate Microeconomics (Junior, 3 credits)
- ECO 311: Intermediate Macroeconomics (Senior, 4 credits)
- ECO 420: Econometrics (Senior, 4 credits)
- EDU 200: Foundations of Education (Freshman, 3 credits)
- EDU 240: Educational Psychology (Sophomore, 3 credits)
- EDU 300: Classroom Management (Junior, 3 credits)
- EDU 330: Assessment and Instruction (Senior, 4 credits)
- EDU 410: Student Teaching Seminar (Senior, 4 credits)
- ENG 101: Introduction to Engineering (Freshman, 3 credits)
- ENG 201: Engineering Graphics (Sophomore, 3 credits)
- ENG 301: Thermodynamics (Junior, 4 credits)
- ENG 401: Capstone Design Project (Senior, 4 credits)
- ENG 101: English Composition I (Freshman, 3 credits)
- ENG 102: English Composition II (Sophomore, 3 credits)
- ENG 220: Introduction to Literature (Junior, 3 credits)
- ENG 320: American Literature (Senior, 4 credits)
- ENG 410: Advanced Writing (Senior, 4 credits)
- EXS 101: Introduction to Exercise Science (Freshman, 3 credits)
- EXS 220: Kinesiology (Sophomore, 3 credits)
- EXS 230: Exercise Physiology (Junior, 3 credits)
- EXS 320: Biomechanics (Senior, 4 credits)
- EXS 410: Strength and Conditioning (Senior, 4 credits)
- FIN 301: Principles of Finance (Junior, 3 credits)
- FIN 320: Corporate Finance (Senior, 4 credits)
- FIN 330: Investments (Senior, 4 credits)
- FIN 410: Financial Markets (Senior, 4 credits)
- FIN 420: International Finance (Senior, 4 credits)
- ENG 101: English Composition I (Freshman, 3 credits)
- MAT 103: College Algebra (Sophomore, 3 credits)
- BIO 100: General Biology (Junior, 3 credits)
- HIS 201: U.S. History (Senior, 4 credits)
- PSY 101: Introduction to Psychology (Senior, 4 credits)
- MGT 301: Principles of Management (Freshman, 3 credits)
- MGT 320: Organizational Behavior (Sophomore, 3 credits)
- MGT 330: Human Resource Management (Junior, 3 credits)
- MGT 410: Operations Management (Senior, 4 credits)
- MGT 420: Strategic Management (Senior, 4 credits)
- MSC 101: Introduction to Marine Science (Freshman, 3 credits)
- MSC 220: Oceanography (Sophomore, 3 credits)
- MSC 240: Marine Ecology (Junior, 3 credits)
- MSC 320: Marine Conservation (Senior, 4 credits)
- MSC 410: Coastal Processes (Senior, 4 credits)
- MKT 301: Principles of Marketing (Freshman, 3 credits)
- MKT 320: Consumer Behavior (Sophomore, 3 credits)
- MKT 330: Digital Marketing (Junior, 3 credits)
- MKT 410: Marketing Research (Senior, 4 credits)
- MKT 420: Strategic Marketing (Senior, 4 credits)
- MUS 101: Music Appreciation (Freshman, 3 credits)
- MUS 120: Music Theory I (Sophomore, 3 credits)
- MUS 121: Music Theory II (Junior, 3 credits)
- MUS 220: History of Western Music (Senior, 4 credits)
- MUS 410: Senior Recital (Senior, 4 credits)
- NUR 201: Foundations of Nursing (Freshman, 3 credits)
- NUR 220: Health Assessment (Sophomore, 3 credits)
- NUR 301: Adult Health Nursing (Junior, 3 credits)
- NUR 320: Pharmacology (Senior, 4 credits)
- NUR 410: Community Health Nursing (Senior, 4 credits)
- PHI 101: Introduction to Philosophy (Freshman, 3 credits)
- PHI 210: Ethics (Sophomore, 3 credits)
- PHI 220: Logic (Junior, 3 credits)
- PHI 320: Political Philosophy (Senior, 4 credits)
- PHI 410: Philosophy of Mind (Senior, 4 credits)
- POL 101: Introduction to Political Science (Freshman, 3 credits)
- POL 220: American Government (Sophomore, 3 credits)
- POL 230: International Relations (Junior, 3 credits)
- POL 320: Comparative Politics (Senior, 4 credits)
- POL 410: Public Policy (Senior, 4 credits)
- PSY 101: Introduction to Psychology (Freshman, 3 credits)
- PSY 220: Developmental Psychology (Sophomore, 3 credits)
- PSY 230: Abnormal Psychology (Junior, 3 credits)
- PSY 310: Cognitive Psychology (Senior, 4 credits)
- PSY 340: Research Methods in Psychology (Senior, 4 credits)
